Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 23,Home,W 1–0,Norwich City,Bournemouth,N,RW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Wed,Matchweek 24,Away,L 1–2,Norwich City,Tottenham,Y,RW,86.0,0,0,0,0,2,0,0,0,51,31,0,0,3,0.1,0.1,0.1,2,0,31,42,73.8,71,33,68,0,1
Sat,Matchweek 25,Away,D 0–0,Norwich City,Newcastle Utd,Y,RW,89.0,0,0,0,0,1,1,0,0,46,20,2,1,2,0.2,0.2,0.4,2,0,29,36,80.6,90,34,64,1,1
Sat,Matchweek 26,Home,L 0–1,Norwich City,Liverpool,Y,RW,83.0,0,0,0,0,0,0,0,0,30,18,0,4,0,0.0,0.0,0.0,1,0,15,21,71.4,83,19,24,1,2
Sun,Matchweek 27,Away,L 0–3,Norwich City,Wolves,Y,RW,59.0,0,0,0,0,0,0,0,0,28,24,0,0,1,0.0,0.0,0.0,1,0,17,24,70.8,26,25,53,4,6
Fri,Matchweek 28,Home,W 1–0,Norwich City,Leicester City,N,LW,22.0,0,0,0,0,0,0,0,0,11,5,1,3,0,0.0,0.0,0.0,1,0,4,6,66.7,19,6,1,1,1
